YEAR,STATAREA,SEC_POOL,LOC_CODE,LENGTH,WIDTH,LAYERS,COVER,POSITION,METHOD,START_DA,START_MO,END_DAY,END_MON,STARTDOY,SUBAREA,LOC_NAME,POOL,keyposit,keywidth,keylayer,loc_lat,loc_long,SPAINDEX,REGION,YRREGION,TONNES,SECTION,POOLCOEFF,SECTCOEFF,BOOTCOEFF,LOWER_CI,UPPER_CI,SPWNCOEFF,Nonassess,TSpawners,SALI,SST,Lighthse
1928,14,1421,820,,69,2.74,100,23,0,20,3,27,3,80,2,Comox Hrbr,1,23,69,1.34,49.6678,-124.927,0,SOG,19285,,142,80.3,65.66,211.216,171.018,258.628,81.40906966,0,,,,Chrome_Is
1928,14,1423,811,804,64,1.34,100,86,0,1,3,,,61,2,Lambert Chnl,3,86,64,2.96,49.5333,-124.75,44998.3514,SOG,19285,,142,68.34,65.66,143.088,127.896,159.142,55.96809875,915.7164509,915.7164509,,,Chrome_Is
1928,14,1423,813,,23,5.3,100,84,0,5,3,10,3,65,2,Denman Is,3,84,23,2.74,49.5167,-124.717,0,SOG,19285,,142,68.34,65.66,143.088,127.896,159.142,55.96809875,0,,,,Chrome_Is
1928,14,1423,817,,46,5.3,100,61,0,5,3,10,3,65,2,Deep Bay,3,61,46,2.96,49.4588,-124.75,0,SOG,19285,,142,68.34,65.66,143.088,127.896,159.142,55.96809875,0,,,,Chrome_Is
1928,14,1423,817,,46,5.3,100,61,0,5,3,10,3,65,2,Deep Bay,3,61,46,2.96,49.4588,-124.75,0,SOG,19285,,142,68.34,65.66,143.088,127.896,159.142,55.96809875,0,,,,Chrome_Is
1928,14,1423,838,,61,1.34,100,101.4,0,13,3,,,73,2,Shingle Spit,3,101.4,61,2.12,49.5,-124.8,0,SOG,19285,,142,68.34,65.66,143.088,127.896,159.142,55.96809875,0,,,,Chrome_Is
1928,26,2611,1291,,14,1.34,100,999,0,20,2,,,51,1,Blind Entr +,1,999,14,2.74,50.0383,-127.3,0,NON,19280,,261,,47.7,,,,20.3474533,0,,,,Nootka_Pt
1928,26,2612,1289,,14,1.34,100,87,0,20,2,,,51,1,Amai (Deep) Inlt,2,87,14,2.74,50.0252,-127.083,0,NON,19280,,261,47.7,47.7,76.472,41.436,122.329,31.09175249,0,,,,Nootka_Pt
1928,26,2612,1289,,14,5.3,100,87,0,21,4,,,112,1,Amai (Deep) Inlt,2,87,14,2.74,50.0252,-127.083,0,NON,19280,,261,47.7,47.7,76.472,41.436,122.329,31.09175249,0,,,,Nootka_Pt
1928,26,2621,1296,,25,5.3,100,47,0,28,2,,,59,2,Clanninick Cv,1,47,25,2.74,50.031,-127.403,0,NON,19280,,262,37,30.82,71.172,55.652,87.942,29.11257879,0,,,,Nootka_Pt
