"","year","Area2","Area27","HG","CC","PRD","SOG","WCVI","sum"
"1",1951,0,0,10.6405,53.1353,48.9312,93.6277,32.8899,239.2246
"2",1952,0,0,7.99874,28.0029,23.5343,106.498,20.2935,186.32744
"3",1953,0,0,28.4202,37.5413,31.6661,130.084,29.3026,257.0142
"4",1954,0,0,70.2341,38.7432,26.4605,151.063,24.7223,311.2231
"5",1955,0,0,77.5911,39.6464,22.4851,125.943,30.1111,295.7767
"6",1956,0,0,15.278,16.0169,24.8293,69.8581,34.1945,160.1768
"7",1957,0,0,5.35666,12.5308,13.1976,41.5956,46.2665,118.94716
"8",1958,0,0,5.87981,21.3104,27.3725,57.7937,56.0778,168.43421
"9",1959,0,0,13.668,22.7804,49.478,78.6964,29.1714,193.7942
"10",1960,0,0,20.335,25.7354,53.8508,78.102,13.6951,191.7183
"11",1961,0,0,33.9447,25.1206,73.5255,70.9231,19.2597,222.7736
"12",1962,0,0,44.5427,41.1163,91.9687,75.8448,30.9167,284.3892
"13",1963,0,0,33.1879,27.1963,72.8458,67.4154,30.1236,230.769
"14",1964,0,0,10.6486,15.0788,71.3844,62.6791,29.5405,189.3314
"15",1965,0,0,2.72446,11.1095,48.3238,39.1222,17.9872,119.26716
"16",1966,0,0,5.09933,7.06604,21.9734,22.6028,9.36792,66.10949
"17",1967,0,0,5.05742,10.9056,11.7563,15.7647,7.81025,51.29427
"18",1968,0,0,5.2659,10.0883,9.85805,22.3182,13.45,60.98045
"19",1969,0,0,6.50943,12.1798,10.0891,29.9248,16.5729,75.27603
"20",1970,0,0,10.8487,21.2768,12.7522,42.7805,31.379,119.0372
"21",1971,0,0,16.8934,26.9105,11.4582,49.3956,57.4421,162.0998
"22",1972,0,0,25.4466,27.6,13.8792,45.5584,63.9648,176.449
"23",1973,0,0,34.2045,35.2689,17.9766,55.8095,69.7791,213.0386
"24",1974,0,0,41.8543,35.5983,24.4306,73.9922,80.0779,255.9533
"25",1975,0,0,42.1087,38.655,22.285,93.1794,103.512,299.7401
"26",1976,0,0,35.9032,31.4893,24.2761,119.853,86.712,298.2336
"27",1977,0,0,29.5816,28.7331,18.1151,154.922,78.4201,309.7719
"28",1978,2.6929,7.08827,24.9253,21.2545,12.2805,152.022,71.4351,291.69857
"29",1979,2.64372,5.43411,38.6046,37.2721,13.9925,150.308,69.4755,317.73053
"30",1980,4.95293,5.57139,78.5171,73.6446,21.0753,137.567,76.7899,398.11822
"31",1981,5.14526,3.93775,80.2011,76.663,23.8608,121.92,68.7785,380.50641
"32",1982,5.31657,2.44921,61.1833,71.0779,26.3031,94.877,47.9108,309.11788
"33",1983,3.59713,1.4584,52.2903,52.7397,34.5491,61.6987,34.0092,240.34253
"34",1984,3.78593,1.35559,51.7326,37.038,45.5178,50.5719,37.3478,227.34962
"35",1985,4.29654,1.80424,47.318,38.9862,43.3659,62.3517,55.2404,253.36298
"36",1986,4.54911,2.35224,37.6919,36.9396,46.0364,81.4328,65.0083,274.01035
"37",1987,6.25676,2.53461,35.8255,44.12,46.7292,83.9118,66.6023,285.98017
"38",1988,10.2013,3.00072,49.2959,64.9017,40.4392,104.821,94.4148,367.07462
"39",1989,10.4209,3.18454,50.3102,51.4172,32.8371,100.639,80.735,329.54394
"40",1990,7.9866,3.08235,36.9422,41.1647,31.7959,113.351,74.8138,309.13655
"41",1991,4.30081,3.08235,27.4693,43.7206,36.5251,125.542,69.0471,309.68726
"42",1992,2.50325,4.37721,30.448,63.4511,38.0401,151.455,87.9133,378.18796
"43",1993,0.759307,4.00632,19.0727,55.5708,31.2689,151.832,82.7314,345.241427
"44",1994,0.606595,3.39763,12.5991,44.9424,22.9552,128.048,66.3543,278.903225
"45",1995,0.456734,2.57971,14.6481,32.7049,24.4075,114.207,54.6696,243.673544
"46",1996,0.4691,2.12445,18.9326,37.8538,30.8515,122.672,59.5377,272.44115
"47",1997,0.475819,1.99183,27.3895,52.6356,29.3005,136.719,74.7819,323.294149
"48",1998,0.407287,1.53003,26.6568,57.4587,28.8938,134.594,55.4013,304.941917
"49",1999,0.465151,1.22899,15.2802,51.5406,29.1004,126.598,41.455,265.668341
"50",2000,0.458795,1.10683,9.90361,47.3065,25.213,130.584,39.1898,253.762535
"51",2001,0.543847,0.856241,8.73872,37.1761,27.19,172.647,42.4723,289.624208
"52",2002,0.734137,1.04187,10.4156,35.8919,27.2532,183.784,42.2,301.320707
"53",2003,1.32907,1.15233,12.4412,41.9454,32.5146,179.177,34.5446,303.1042
"54",2004,1.51285,1.12178,9.77146,32.7619,25.6343,142.568,19.7817,233.15199
"55",2005,1.46622,1.12323,10.0202,25.6594,18.8635,122.035,11.623,190.79055
"56",2006,1.63717,1.6995,8.9501,15.8537,18.145,103.645,10.0679,159.99837
"57",2007,1.65287,1.5769,11.3711,12.8313,21.3129,106.97,8.99401,164.70908
"58",2008,1.90323,1.41049,10.8625,11.693,20.1007,70.9248,8.05659,124.95131
"59",2009,2.75326,1.50461,12.7362,15.7786,19.5918,78.5431,8.93348,139.84105
"60",2010,3.3351,1.33103,13.0743,16.2248,21.9525,72.503,10.9846,139.40533
"61",2011,3.5677,1.22609,14.2185,15.4452,24.2084,117.215,14.9315,190.81239
"62",2012,3.38029,1.10322,22.0124,14.6256,25.4599,137.909,15.8425,220.33291
"63",2013,3.15412,1.20588,32.6933,23.8298,31.655,154.945,20.5283,268.0114
"64",2014,2.67729,1.23073,23.1314,25.4174,29.96,196.854,32.2224,311.49322
