"","year","Area2","Area27","HG","CC","PRD","SOG","WCVI"
"1",1951,0,0,2.847,42.458,45.865,43.798,21.821
"2",1952,0,0,10.147,33.195,52.379,45.885,27.008
"3",1953,0,0,0,0.768,1.865,8.425,0.02
"4",1954,0,0,1.786,24.616,27.277,65.767,33.209
"5",1955,0,0,0.498,11.594,17.806,68.641,6.123
"6",1956,0,0,77.461,43.627,10.182,72.062,17.098
"7",1957,0,0,21.803,23.261,28.035,59.608,2.612
"8",1958,0,0,11.147,9.849,4.523,20.628,0.556
"9",1959,0,0,6.828,27.87,10.224,50.025,69.223
"10",1960,0,0,0,4.037,18.476,68.037,53.911
"11",1961,0,0,0.576,31.704,42.746,46.215,26.435
"12",1962,0,0,7.632,15.709,27.66,65.303,23.684
"13",1963,0,0,14.705,44.054,40.228,68.847,18.206
"14",1964,0,0,28.772,31.895,29.93,76.881,21.266
"15",1965,0,0,35.448,15.67,44.211,47.819,16.046
"16",1966,0,0,2.746,37.482,17.295,33.338,10.843
"17",1967,0,0,0.213,21.89,7.998,31.043,15.145
"18",1968,0,0,0.08,1.528,2.068,1.893,0
"19",1969,0,0,0,0,0,0.194,0
"20",1970,0,0,0,0.209,1.33,0.244,0
"21",1971,0,0,0.102,3.614,3.5,1.7,0
"22",1972,0,0,3.973,9.28,4.494,8.811,6.894
"23",1973,0,0,7.52,7.8,1.606,7.649,18.303
"24",1974,0,0,6.318,8.888,3.819,4.017,16.334
"25",1975,0,0,7.724,8.738,1.702,6.179,26.108
"26",1976,0,0,14.115,12.411,4.306,12.237,38.825
"27",1977,0,0,12.635,11.105,8.142,17.509,30.043
"28",1978,0.575,0.15,11.725,14.046,8.588,24.002,22.745
"29",1979,0.691,0.692,7.9533,0.005,4.317,20.338,18.694
"30",1980,0,0.52,3.316,0.538,3.425,5.818,3.982
"31",1981,0.77,0.671,5.632,2.573,3.089,12.053,8.089
"32",1982,1.225,0.57,3.778,6.37,1.985,12.833,5.487
"33",1983,2.518,0.163,5.597,5.64,0,17.217,8.575
"34",1984,0,0.171,4.647,7.172,3.706,11.035,6.576
"35",1985,0.199,0,6.108,5.209,6.747,7.03,0.178
"36",1986,0,0,3.503,3.387,8.68,0.594,0.204
"37",1987,0,0,2.061,3.615,6.27,9.353,15.934
"38",1988,0,0,0.032,4.527,7.969,8.215,9.724
"39",1989,0,0,1.461,9.442,8.473,8.369,13.289
"40",1990,2.272,0,6.712,8.351,4.689,8.119,9.849
"41",1991,2.558,0.091,4.442,8.903,3.51,11.103,8.635
"42",1992,1.284,0.335,2.524,8.362,5.177,13.696,3.713
"43",1993,1.306,0.367,2.6993,10.516,6.32,13.741,5.612
"44",1994,0,0.345,0.299,11.879,4.687,17.738,6.039
"45",1995,0,0.088,0,9.582,2.061,13.192,1.951
"46",1996,0,0,0,4.299,3.086,14.112,0.791
"47",1997,0,0,0,3.62,5.541,15.824,6.656
"48",1998,0.18,0,1.371,8.622,3.217,13.604,6.984
"49",1999,0,0,2.978,7.524,2.115,13.196,4.373
"50",2000,0,0,1.765,7.366,4.315,15.204,1.626
"51",2001,0,0,0,6.13,2.918,16.382,0
"52",2002,0,0,0.706,3.293,4.494,18.613,0.821
"53",2003,0,0,0,2.588,4.013,20.877,3.516
"54",2004,0,0,0,2.988,4.112,13.601,4.454
"55",2005,0,0,0,3.778,3.8,18.871,4.269
"56",2006,0,0,0,3.072,2.618,18.762,0
"57",2007,0,0,0,0.398,0.969,10.222,0
"58",2008,0,0,0,0,1.661,9.999,0
"59",2009,0,0,0,0,1.999,10.169,0
"60",2010,0,0,0,0,1.485,8.323,0
"61",2011,0,0,0,0,2.147,5.128,0
"62",2012,0,0,0,0,1.383,11.339,0
"63",2013,0,0,0,0,2.027,16.566,0
"64",2014,0,0,0,0.687,2.003,20.307,0
