year,section,section_name,totalrecords,spawn_index_tonnes,total_length,mean_width,spawn_date_xbar,spawn_date_sd,spawn_date_min,spawn_date_max,dive_survey_pct,latitude,longitude
1951,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,21,Juan Perez Sound,1,161.51246179039998,686,14,94,NA,94,94,0,52.4482,-131.2644
1951,22,Skidegate Inlet,5,150.91080469064002,1874,6.2,155.4,14.310835055998654,136,171,0,53.2423578,-131.9868008
1951,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,25,Skincuttle Inlet,11,4051.2260074842593,9050,27.81818181818182,92.9090909090909,1.0444659357341868,91,94,0,52.3098948,-131.2869111
1952,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,21,Juan Perez Sound,3,1856.969380984476,6581,9,107.33333333333331,9.291573243177568,101,118,0,52.432529333333335,-131.31842466666666
1952,22,Skidegate Inlet,3,153.610708978764,1006,12,145.33333333333334,9.018499505645789,136,154,0,53.23783666666667,-131.98989366666666
1952,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,24,Laskeek Bay,1,95.76226359072,320,5,120,NA,120,120,0,52.859444,-131.793611
