year,month,date,chla_mean,chla_median,chla_sd,n_cells,n_total,pct_valid,sensor
2012,1,2012-01-02,0.29784267185185187,0.30397338,0.08161423005825813,27,972,2.8,VIIRS
2012,2,2012-02-01,1.1590509694602273,0.594405875,3.4140701229206813,704,972,72.4,VIIRS
2012,3,2012-03-01,0.8594536879858157,0.5727767,1.2644715651831282,705,972,72.5,VIIRS
2012,4,2012-04-01,1.47956013646978,0.9081274,1.8561999667883993,728,972,74.9,VIIRS
2012,5,2012-05-01,1.554561687084469,1.1718577,1.4191021276358864,734,972,75.5,VIIRS
2012,6,2012-06-01,2.162074301938633,1.5695076,2.612360863878269,717,972,73.8,VIIRS
2012,7,2012-07-01,3.5965617053648073,2.155544,6.469116942356269,699,972,71.9,VIIRS
2012,8,2012-08-01,2.1910545262400003,1.2733919999999999,3.8862404006706903,750,972,77.2,VIIRS
2012,9,2012-09-01,3.4070607759679565,2.251981,3.5488509408457873,749,972,77.1,VIIRS
2012,10,2012-10-01,2.4315264902002673,1.4890983,2.987464400577776,749,972,77.1,VIIRS
2012,11,2012-11-01,1.2475095004152048,0.6488798,3.16660560718069,342,972,35.2,VIIRS
2012,12,2012-12-01,NA,NA,NA,0,972,0,VIIRS
2013,1,2013-01-01,0.181510585,0.181317425,0.03878377682016889,6,972,0.6,VIIRS
2013,2,2013-02-01,0.6034532909344827,0.388077405,0.806079615731656,580,972,59.7,VIIRS
2013,3,2013-03-01,1.2023349497580644,0.74006376,1.6302597364507652,744,972,76.5,VIIRS
2013,4,2013-04-01,1.9584517428016084,1.2760080500000002,3.3866021247425215,746,972,76.7,VIIRS
2013,5,2013-05-01,2.486923403351278,1.7440574,4.182991532867163,743,972,76.4,VIIRS
2013,6,2013-06-01,2.321987081028168,1.687271,4.455957496044969,710,972,73,VIIRS
2013,7,2013-07-01,2.6470577645649263,1.7345215,3.972799484590331,747,972,76.9,VIIRS
2013,8,2013-08-01,2.324453071604426,1.7308117,3.5679901114689696,723,972,74.4,VIIRS
2013,9,2013-09-01,2.883363389722956,2.1411443500000003,3.1053488730918972,758,972,78,VIIRS
2013,10,2013-10-01,1.975045532351351,1.2143373,3.675680470355944,740,972,76.1,VIIRS
2013,11,2013-11-01,1.726333237058823,0.8047621,2.881659831530427,357,972,36.7,VIIRS
2013,12,2013-12-01,NA,NA,NA,0,972,0,VIIRS
2014,1,2014-01-01,0.9929348208870968,0.59694377,1.2391844623538644,248,972,25.5,VIIRS
2014,2,2014-02-01,1.6358495700402143,0.9587305500000001,3.579704121337352,746,972,76.7,VIIRS
2014,3,2014-03-01,1.0590089116532262,0.58685473,2.008109667009131,744,972,76.5,VIIRS
2014,4,2014-04-01,1.4841828895088678,0.8941002,1.55863522084552,733,972,75.4,VIIRS
2014,5,2014-05-01,2.067395610621622,1.6227477000000001,1.9274975191903718,740,972,76.1,VIIRS
2014,6,2014-06-01,2.9486715555345064,1.9579381,3.1854778660532,739,972,76,VIIRS
2014,7,2014-07-01,3.0583374529932885,1.7285964,3.8973225078575515,745,972,76.6,VIIRS
2014,8,2014-08-01,2.3210056415487315,1.6863666,2.5460621400215895,749,972,77.1,VIIRS
2014,9,2014-09-01,2.3133330390292546,1.6750191,3.829201539589571,752,972,77.4,VIIRS
2014,10,2014-10-01,1.489325021633523,0.873909175,2.2762223260853536,704,972,72.4,VIIRS
2014,11,2014-11-01,1.6900700355785123,0.9088288,2.805831212457428,242,972,24.9,VIIRS
2014,12,2014-12-01,NA,NA,NA,0,972,0,VIIRS
2015,1,2015-01-01,NA,NA,NA,0,972,0,VIIRS
2015,2,2015-02-01,1.307422547298772,0.7560984,1.9683231547785696,733,972,75.4,VIIRS
2015,3,2015-03-01,1.3597789902173913,0.9383485,2.023706423282324,736,972,75.7,VIIRS
2015,4,2015-04-01,1.308916613719346,0.9365726649999999,1.3854254811158278,734,972,75.5,VIIRS
2015,5,2015-05-01,2.3879191225268803,1.65623115,3.7766160882872297,744,972,76.5,VIIRS
2015,6,2015-06-01,1.9494910162195123,1.1424781,3.1141652624595144,738,972,75.9,VIIRS
2015,7,2015-07-01,1.8696437342838022,1.4389088,3.077811784708917,747,972,76.9,VIIRS
2015,8,2015-08-01,2.216245812943548,1.6181786,2.657097090369133,744,972,76.5,VIIRS
2015,9,2015-09-01,2.318425410873656,1.4430536,3.9888809420749802,744,972,76.5,VIIRS
2015,10,2015-10-01,1.8156733714945648,1.1256469,2.4390878411144503,736,972,75.7,VIIRS
2015,11,2015-11-01,0.8301123095468278,0.590783,2.0185716165668177,331,972,34.1,VIIRS
2015,12,2015-12-01,NA,NA,NA,0,972,0,VIIRS
2016,1,2016-01-01,0.39128689333333333,0.36151284,0.273333444364597,165,972,17,VIIRS
2016,2,2016-02-01,0.9367157509404189,0.48899123,2.935155943891084,621,972,63.9,VIIRS
2016,3,2016-03-01,1.2166178081914891,0.71096414,1.80025292842682,752,972,77.4,VIIRS
2016,4,2016-04-01,1.6332558200682128,1.3303038,1.4923904197728803,733,972,75.4,VIIRS
2016,5,2016-05-01,2.379391746270053,1.5128401,3.1589850218766005,748,972,77,VIIRS
2016,6,2016-06-01,1.6897719606043957,1.14743485,1.8028702370405103,728,972,74.9,VIIRS
2016,7,2016-07-01,1.6023039566568051,1.2353185,1.5718315033433805,676,972,69.5,VIIRS
2016,8,2016-08-01,2.3504580385100673,1.6772327,3.0304993580167237,745,972,76.6,VIIRS
2016,9,2016-09-01,1.981017066693548,1.4215914,2.533510266549346,744,972,76.5,VIIRS
