Season/Saison,Year/Année,Month/Mois,Stock Assessment Region/Région d’évaluation des stocks,Statistical Area/Zone statistique ,Section/Section,Gear/Engin de pêche ,Sum of Catch (metric tonnes)/Somme des prises (en tonnes métriques) ,,
19712,1972,,Haida Gwaii,00,006,Seine,512.13,,
19712,1972,,Haida Gwaii,02,023,Seine,1351.55,,Sum of WP catches from 19712-19978 (Seine) = 377.65
19712,1972,,Haida Gwaii,02,025,Seine,1259.94,,Sum of WP catches from 19712-19978 (Gillnet) = 52.73
19723,1973,,Haida Gwaii,00,006,Seine,WP,,
19723,1973,,Haida Gwaii,02,023,Seine,5218.81,,
19723,1973,,Haida Gwaii,02,025,Seine,2230.54,,
19734,1974,,Haida Gwaii,02,023,Gillnet,58.51,,
19734,1974,,Haida Gwaii,02,023,Seine,3982.53,,
19734,1974,,Haida Gwaii,02,025,Gillnet,68.27,,
19734,1974,,Haida Gwaii,02,025,Seine,2208.92,,
19745,1975,,Haida Gwaii,00,006,Seine,1613.16,,
19745,1975,,Haida Gwaii,02,021,Seine,WP,,
19745,1975,,Haida Gwaii,02,023,Seine,1702.84,,
19745,1975,,Haida Gwaii,02,025,Gillnet,104.82,,
19745,1975,,Haida Gwaii,02,025,Seine,4227.86,,
19756,1976,,Haida Gwaii,00,006,Gillnet,334.34,,
19756,1976,,Haida Gwaii,00,006,Seine,2155.87,,
19756,1976,,Haida Gwaii,02,021,Gillnet,7.11,,
19756,1976,,Haida Gwaii,02,023,Gillnet,293.98,,
19756,1976,,Haida Gwaii,02,023,Seine,1532.5,,
19756,1976,,Haida Gwaii,02,025,Gillnet,1166.8,,
19756,1976,,Haida Gwaii,02,025,Seine,8250.63,,
19767,1977,,Haida Gwaii,00,006,Seine,2603.53,,
19767,1977,,Haida Gwaii,02,021,Gillnet,49.66,,
19767,1977,,Haida Gwaii,02,025,Gillnet,1439.21,,
19767,1977,,Haida Gwaii,02,025,Seine,8521.49,,
19778,1978,,Haida Gwaii,00,006,Gillnet,532.13,,
19778,1978,,Haida Gwaii,00,006,Seine,1704.87,,
19778,1978,,Haida Gwaii,02,025,Gillnet,2021.2,,
19778,1978,,Haida Gwaii,02,025,Seine,7467.3,,
19789,1979,,Haida Gwaii,02,021,Gillnet,21.41,,
19789,1979,,Haida Gwaii,02,025,Gillnet,2064.25,,
19789,1979,,Haida Gwaii,02,025,Seine,5816.99,,
19790,1980,,Haida Gwaii,00,006,Gillnet,249.08,,
19790,1980,,Haida Gwaii,00,006,Seine,792.5,,
19790,1980,,Haida Gwaii,02,021,Gillnet,45.79,,
19790,1980,,Haida Gwaii,02,025,Gillnet,915.32,,
19790,1980,,Haida Gwaii,02,025,Seine,1313.36,,
19801,1981,,Haida Gwaii,02,024,Gillnet,154.72,,
19801,1981,,Haida Gwaii,02,024,Seine,887.27,,
19801,1981,,Haida Gwaii,02,025,Gillnet,1549.88,,
19801,1981,,Haida Gwaii,02,025,Seine,2996.44,,
19812,1982,,Haida Gwaii,02,021,Gillnet,12.65,,
19812,1982,,Haida Gwaii,02,021,Seine,1526.47,,
19812,1982,,Haida Gwaii,02,024,Seine,598.64,,
19812,1982,,Haida Gwaii,02,025,Gillnet,1394.82,,
19812,1982,,Haida Gwaii,02,025,Seine,228.1,,
19823,1983,,Haida Gwaii,02,021,Seine,4600.51,,
19823,1983,,Haida Gwaii,02,025,Gillnet,929.14,,
19834,1984,,Haida Gwaii,02,021,Seine,4015.83,,
19834,1984,,Haida Gwaii,02,025,Gillnet,534.69,,
19845,1985,,Haida Gwaii,02,021,Seine,WP,,
19845,1985,,Haida Gwaii,02,025,Gillnet,1492.87,,
19845,1985,,Haida Gwaii,02,025,Seine,4461.66,,
19856,1986,,Haida Gwaii,02,021,Gillnet,800.45,,
19856,1986,,Haida Gwaii,02,021,Seine,WP,,
19856,1986,,Haida Gwaii,02,024,Gillnet,87.31,,
19856,1986,,Haida Gwaii,02,025,Gillnet,WP,,
19856,1986,,Haida Gwaii,02,025,Seine,2537.33,,
19867,1987,,Haida Gwaii,02,021,Seine,2027.97,,
19889,1989,,Haida Gwaii,00,006,Seine,1419.25,,
19890,1990,,Haida Gwaii,00,006,Seine,5249.92,,
19890,1990,,Haida Gwaii,02,021,Gillnet,1093.11,,
19890,1990,,Haida Gwaii,02,025,Gillnet,76.9,,
19890,1990,,Haida Gwaii,02,025,Seine,284.56,,
19901,1991,,Haida Gwaii,02,021,Gillnet,493.37,,
19901,1991,,Haida Gwaii,02,021,Seine,3897.79,,
19901,1991,,Haida Gwaii,02,025,Gillnet,WP,,
19912,1992,,Haida Gwaii,00,006,Seine,2460.32,,
19912,1992,,Haida Gwaii,02,025,Seine,WP,,
19923,1993,,Haida Gwaii,02,025,Gillnet,WP,,
19923,1993,,Haida Gwaii,02,025,Seine,2699.35,,
19934,1994,,Haida Gwaii,02,024,Seine,298.86,,
19978,1998,,Haida Gwaii,02,021,Seine,720.93,,
19978,1998,,Haida Gwaii,02,025,Seine,650.38,,
19989,1999,March,Haida Gwaii,02,021,Gillnet,263.73,,
19989,1999,March,Haida Gwaii,02,021,Seine,2493.24,,
19989,1999,March,Haida Gwaii,02,025,Gillnet,221.52,,
19990,2000,March,Haida Gwaii,02,021,Seine,1707.23,,
19990,2000,March,Haida Gwaii,02,025,Seine,57.46,,
20012,2002,March,Haida Gwaii,02,021,Seine,705.79,,
