Year,Num_Record,TotalCatch,CatchJan_Apr,CatchMay_Aug,CatchSep_Dec,Gillnet,Seine,Trawl,SOK,Section,Name,Latitude,Longitude
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
