year,totalrecords,SHI,total_length,mean_width,mean_layers,spawn_date_xbar,spawn_date_sd,spawn_data_weight,spawn_date_min,spawn_date_max,dive_survey_percent,section,section_name,Latitude,Longitude
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1951,1,161.5,686,14.0,NA,94.0,0,161.5,94,94,0,21,Juan Perez Sound,52.4482,-131.2644
1951,5,150.9,1874,6.2,NA,155.4,14.3,150.9,136,171,0,22,Skidegate Inlet,53.2424,-131.9868
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1951,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1951,11,4051.2,9050,27.8,NA,92.9,1.0,4051.2,91,94,0,25,Skincuttle Inlet,52.3099,-131.2869
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1952,3,1857.0,6581,9.0,NA,107.3,9.3,1857.0,101,118,0,21,Juan Perez Sound,52.4325,-131.3184
1952,3,153.6,1006,12.0,NA,145.3,9.0,153.6,136,154,0,22,Skidegate Inlet,53.2378,-131.9899
1952,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1952,1,95.8,320,5.0,NA,120.0,0,95.8,120,120,0,24,Laskeek Bay,52.8594,-131.7936
1952,1,625.5,1097,82.0,NA,100.0,0,625.5,100,100,0,25,Skincuttle Inlet,52.3478,-131.2256
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1953,2,93.9,2084,22.5,NA,101.0,0.0,93.9,101,101,0,3,Rennell Sound,53.4729,-132.7113
1953,1,109.0,484,9.0,NA,101.0,0,109.0,101,101,0,4,Cartwright Sound,53.1642,-132.4619
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1953,2,208.7,960,7.5,NA,91.0,0.0,208.7,91,91,0,21,Juan Perez Sound,52.4003,-131.3597
1953,10,237.0,3894,5.2,NA,138.9,11.9,237.0,118,163,0,22,Skidegate Inlet,53.235,-131.9784
1953,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1953,3,203.9,2468,18.0,NA,121.3,0.6,203.9,121,122,0,24,Laskeek Bay,52.8437,-131.8713
1953,3,7142.4,12141,22.7,NA,92.0,1.0,7142.4,91,93,0,25,Skincuttle Inlet,52.331,-131.3001
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1954,3,3970.5,11425,8.7,NA,92.3,2.1,3970.5,90,94,0,21,Juan Perez Sound,52.3875,-131.3709
1954,10,229.1,2296,6.7,NA,144.4,20.5,229.1,127,176,0,22,Skidegate Inlet,53.2363,-132.0061
1954,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1954,4,2027.0,13846,11.5,NA,111.8,10.2,2027.0,105,127,0,24,Laskeek Bay,52.8342,-131.8728
1954,2,6410.4,8372,27.0,NA,91.0,0.0,6410.4,91,91,0,25,Skincuttle Inlet,52.3349,-131.3111
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
