year,section,section_name,total_records,spawn_index_t,total_length_m,mean_width_m,surface_t,macrocystis_t,understory_t,spawn_date_xbar,spawn_date_sd,spawn_date_min,spawn_date_max,dive_survey_percent,latitude,longitude
1951,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1951,021,Juan Perez Sound,1,161.5,686,14.0,161.5,0.0,0.0,94.0,0,94,94,0,52.4482,-131.2644
1951,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1951,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1951,025,Skincuttle Inlet,11,4051.2,9050,27.8,4051.2,0.0,0.0,92.9,1.0,91,94,0,52.3099,-131.2869
1952,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1952,021,Juan Perez Sound,3,1857.0,6581,9.0,1857.0,0.0,0.0,107.3,9.3,101,118,0,52.4325,-131.3184
1952,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1952,024,Laskeek Bay,1,95.8,320,5.0,95.8,0.0,0.0,120.0,0,120,120,0,52.8594,-131.7936
1952,025,Skincuttle Inlet,1,625.5,1097,82.0,625.5,0.0,0.0,100.0,0,100,100,0,52.3478,-131.2256
1953,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1953,021,Juan Perez Sound,2,208.7,960,7.5,208.7,0.0,0.0,91.0,0.0,91,91,0,52.4003,-131.3597
1953,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1953,024,Laskeek Bay,3,203.9,2468,18.0,203.9,0.0,0.0,121.3,0.6,121,122,0,52.8437,-131.8713
1953,025,Skincuttle Inlet,3,7142.4,12141,22.7,7142.4,0.0,0.0,92.0,1.0,91,93,0,52.331,-131.3001
1954,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1954,021,Juan Perez Sound,3,3970.5,11425,8.7,3970.5,0.0,0.0,92.3,2.1,90,94,0,52.3875,-131.3709
1954,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1954,024,Laskeek Bay,4,2027.0,13846,11.5,2027.0,0.0,0.0,111.8,10.2,105,127,0,52.8342,-131.8728
1954,025,Skincuttle Inlet,2,6410.4,8372,27.0,6410.4,0.0,0.0,91.0,0.0,91,91,0,52.3349,-131.3111
1955,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1955,021,Juan Perez Sound,8,6199.0,17183,6.6,6199.0,0.0,0.0,94.5,6.5,91,105,0,52.4156,-131.3373
