year,month,date_ym,sst_mean,sst_sd,sst_min,sst_max,anom_mean,anom_sd,n_obs,n_days,n_grid_cells
2014,1,2014-01-01T00:00:00Z,7.674358175750834,0.433295689201503,5.63,9.32,0.20859621802002232,0.35758419081909076,4495,31,145
2014,2,2014-02-01T00:00:00Z,6.682495073891626,0.47682193598396366,5.08,7.98,-0.5600295566502463,0.2999003679729698,4060,28,145
2014,3,2014-03-01T00:00:00Z,6.7872124582869855,0.5834416655911956,4.99,8.25,-0.5563759733036704,0.33997508502036755,4495,31,145
2014,4,2014-04-01T00:00:00Z,7.26392643678161,0.5907057282659844,5.59,9.4,-0.7013977011494256,0.3445364059344953,4350,30,145
2014,5,2014-05-01T00:00:00Z,9.453648498331479,0.8326189592170875,6.86,11.54,0.06882536151279182,0.47411426281342106,4495,31,145
2014,6,2014-06-01T00:00:00Z,11.403078160919542,0.8352711668367562,8.63,13.33,0.08787126436781603,0.6460711493927968,4350,30,145
2014,7,2014-07-01T00:00:00Z,13.047806451612903,0.8969520127250351,9.93,15.75,0.04101223581757483,0.6588003916316577,4495,31,145
2014,8,2014-08-01T00:00:00Z,15.075276974416019,1.1628581517253138,10.93,17.87,1.332629588431591,0.9946057803320141,4495,31,145
2014,9,2014-09-01T00:00:00Z,14.083337931034482,1.4158737387442495,9.99,16.92,1.1832528735632184,0.9438414181603173,4350,30,145
2014,10,2014-10-01T00:00:00Z,12.252211345939934,1.0326263734967593,9.09,14.95,1.2756907675194662,0.7083513880523468,4495,31,145
2014,11,2014-11-01T00:00:00Z,10.93484827586207,0.8377696866056744,7.49,12.84,1.7840643678160921,0.6898731962451167,4350,30,145
2014,12,2014-12-01T00:00:00Z,10.019001112347052,0.6011349995764012,6.88,11.31,1.9858064516129035,0.5915425009236075,4495,31,145
2015,1,2015-01-01T00:00:00Z,9.418220244716352,0.5740029497166593,6.88,10.69,1.9524694104560625,0.5084510080429272,4495,31,145
2015,2,2015-02-01T00:00:00Z,9.188633004926109,0.508085187316236,7.43,10.25,1.946081280788177,0.3437824017929709,4060,28,145
2015,3,2015-03-01T00:00:00Z,9.20584427141268,0.4943103450022398,7.21,10.09,1.8621379310344828,0.3240814462739895,4495,31,145
2015,4,2015-04-01T00:00:00Z,9.4508,0.32064669937086293,8.18,10.38,1.4854850574712635,0.3557014278226262,4350,30,145
2015,5,2015-05-01T00:00:00Z,10.780756395995551,0.7018010760822587,8.67,12.85,1.3958909899888767,0.725431137492513,4495,31,145
2015,6,2015-06-01T00:00:00Z,12.507560919540227,1.2803483643484497,9.67,15.87,1.1923678160919529,0.8345680299523771,4350,30,145
2015,7,2015-07-01T00:00:00Z,14.51098553948832,1.0859105082681018,9.95,17.31,1.5041846496106785,0.9737704909331587,4495,31,145
2015,8,2015-08-01T00:00:00Z,14.766440489432703,0.9595833875521116,11.41,17.3,1.0238442714126812,0.7599653288577473,4495,31,145
2015,9,2015-09-01T00:00:00Z,13.218229885057472,0.8556831731601229,10.57,15.3,0.3181379310344828,0.49744842560084623,4350,30,145
2015,10,2015-10-01T00:00:00Z,11.9905361512792,0.7743299510780202,10.28,14.58,1.0140756395995556,0.5393408870169404,4495,31,145
2015,11,2015-11-01T00:00:00Z,10.674416091954022,0.8408324919836495,8.12,12.76,1.523703448275862,0.5473112096712794,4350,30,145
2015,12,2015-12-01T00:00:00Z,9.463908787541714,0.6601240970106579,7.12,11.5,1.4306473859844269,0.46023997148707746,4495,31,145
2016,1,2016-01-01T00:00:00Z,8.74675639599555,0.48034929905184975,7.16,9.85,1.2806763070077862,0.333023446529362,4495,31,145
2016,2,2016-02-01T00:00:00Z,8.714137931034482,0.39318583380489763,7.48,9.7,1.471024970273484,0.29164429443457557,4205,29,145
2016,3,2016-03-01T00:00:00Z,8.643982202447162,0.47822335647413966,6.7,10.39,1.3002157953281424,0.32279290307087943,4495,31,145
2016,4,2016-04-01T00:00:00Z,9.600712643678161,0.4893047871295424,8.16,11.16,1.6353563218390805,0.30740033154020896,4350,30,145
2016,5,2016-05-01T00:00:00Z,10.941072302558398,0.8788833125385148,9.05,13.5,1.5562246941045605,0.5823890442827082,4495,31,145
2016,6,2016-06-01T00:00:00Z,12.493296551724137,0.9788786841963305,9.49,15.14,1.1781908045977016,0.601709884731297,4350,30,145
2016,7,2016-07-01T00:00:00Z,13.931147942157953,0.9225561995849533,11.45,17.11,0.9244071190211345,0.7062402560614565,4495,31,145
2016,8,2016-08-01T00:00:00Z,14.142144605116796,1.2166202836358677,8.07,16.82,0.3995394883203559,1.074216219664922,4495,31,145
2016,9,2016-09-01T00:00:00Z,13.479875862068965,1.1892384137845415,10.25,16.13,0.5798344827586207,0.7278118663912204,4350,30,145
2016,10,2016-10-01T00:00:00Z,11.642206896551723,0.9126190575421864,9.61,14.7,0.665628476084538,0.5020674212644334,4495,31,145
2016,11,2016-11-01T00:00:00Z,10.835266666666667,0.6418185319666149,8.87,12.45,1.6845701149425283,0.7001135712675587,4350,30,145
2016,12,2016-12-01T00:00:00Z,9.723021134593994,0.8415610525185888,7.36,12.15,1.6896195773081202,0.6071140061298805,4495,31,145
