Value,year,month
0.84,2015,10
0.17,2015,11
0.29,2015,12
0.75,2016,1
1.29,2016,2
1.56,2016,3
1.74,2016,4
1.6,2016,5
0.87,2016,6
0.57,2016,7
-0.63,2016,8
-0.8,2016,9
-0.43,2016,10
0.96,2016,11
0.61,2016,12
-0.06,2017,1
-0.02,2017,2
0.1,2017,3
0.56,2017,4
0.45,2017,5
0.33,2017,6
-0.45,2017,7
-0.63,2017,8
-0.2,2017,9
-0.68,2017,10
-0.6,2017,11
-0.03,2017,12
0.38,2018,1
-0.09,2018,2
-0.72,2018,3
-0.82,2018,4
-0.47,2018,5
-0.66,2018,6
-0.03,2018,7
-0.24,2018,8
-0.35,2018,9
-0.57,2018,10
-0.7,2018,11
-0.21,2018,12
-0.34,2019,1
-0.72,2019,2
-0.4,2019,3
0.09,2019,4
0.26,2019,5
-0.06,2019,6
0.52,2019,7
-0.0,2019,8
0.13,2019,9
-0.9,2019,10
-0.51,2019,11
-0.0,2019,12
-1.41,2020,1
-1.48,2020,2
-1.75,2020,3
-1.32,2020,4
-0.52,2020,5
-0.75,2020,6
-0.92,2020,7
-1.33,2020,8
-1.04,2020,9
-0.62,2020,10
-1.58,2020,11
-0.98,2020,12
-0.61,2021,1
-1.09,2021,2
-1.67,2021,3
-1.84,2021,4
-2.04,2021,5
-1.82,2021,6
-2.0,2021,7
-0.95,2021,8
-1.96,2021,9
-3.14,2021,10
-2.75,2021,11
-2.71,2021,12
-2.4,2022,1
-1.91,2022,2
-1.67,2022,3
-2.09,2022,4
-2.23,2022,5
-1.31,2022,6
-2.63,2022,7
-2.38,2022,8
-2.28,2022,9
-1.81,2022,10
-2.4,2022,11
-2.21,2022,12
-1.24,2023,1
-1.65,2023,2
-2.45,2023,3
-3.08,2023,4
-2.41,2023,5
-2.55,2023,6
-2.54,2023,7
-2.48,2023,8
-2.99,2023,9
-2.23,2023,10
-1.79,2023,11
-1.66,2023,12
-1.57,2024,1
-1.34,2024,2
-1.54,2024,3
-2.11,2024,4
-2.98,2024,5
-3.15,2024,6
-3.01,2024,7
-2.91,2024,8
-3.56,2024,9
-3.8,2024,10
-3.13,2024,11
-2.03,2024,12
-1.29,2025,1
-1.4,2025,2
-1.12,2025,3
-1.15,2025,4
-1.66,2025,5
-2.64,2025,6
-4.21,2025,7
-3.23,2025,8
-2.31,2025,9
-2.37,2025,10
-1.51,2025,11
-0.96,2025,12
-1.26,2026,1
-1.01,2026,2
