REGION,SITE,SITE TYPE,LATITUDE,LONGITUDE,SURVEY YEAR,COUNT NON-PUP,COUNT NON-PUP INTERPOLATED/EXTRAPOLATED,COUNT PUP,COUNT PUP INTERPOLATED/EXTRAPOLATED,COUNT PUP PRE-ROOKERY,COUNT PUP PRE-ROOKERY INTERPOLATED/EXTRAPOLATED
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1971,394,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1972,265,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1977,10,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1982,262,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1987,231,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1992,344,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1994,298,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,1998,535,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,2002,714,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,2006,388,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,2008,295,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,2010,367,,,,,
West Coast Vancouver Island,Long Beach,Y,49.03883333,-125.7188333,2013,447,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1971,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1972,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1977,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1982,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1987,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1992,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1994,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,1998,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,2002,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,2006,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,2008,10,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,2010,0,,,,,
West Coast Vancouver Island,Plover Reefs,W/Y,49.169167,-126.083611,2013,154,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1971,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1972,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1977,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1982,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1987,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1992,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1994,58,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,1998,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,2002,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,2006,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,2008,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,2010,0,,,,,
West Coast Vancouver Island,Raphael Point,W,49.308333,-126.22833,2013,0,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1971,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1972,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1977,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1982,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1987,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1992,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1994,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,1998,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,2002,ns,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,2006,353,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,2008,466,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,2010,321,,,,,
West Coast Vancouver Island,Perez Rocks,Y,49.40333333,-126.58333,2013,320,,,,,
West Coast Vancouver Island,Perez Rocks,W,49.74333333,-126.9783333,1971,0,,,,,
