Year,Abundance,SE,CI_lower,CI_upper,Source
2002,16875,5955,4965,28785,Cheeseman et al. 2024 Royal Society Open Science
2003,19065,2981,13103,25027,Cheeseman et al. 2024 Royal Society Open Science
2004,19340,3027,13286,25394,Cheeseman et al. 2024 Royal Society Open Science
2005,21063,843,19377,22749,Cheeseman et al. 2024 Royal Society Open Science
2006,21095,2660,15775,26415,Cheeseman et al. 2024 Royal Society Open Science
2007,24915,3081,18753,31077,Cheeseman et al. 2024 Royal Society Open Science
2008,26456,2976,20504,32408,Cheeseman et al. 2024 Royal Society Open Science
2009,26445,4369,17707,35183,Cheeseman et al. 2024 Royal Society Open Science
2010,23007,4328,14351,31663,Cheeseman et al. 2024 Royal Society Open Science
2011,29636,4885,19866,39406,Cheeseman et al. 2024 Royal Society Open Science
2012,33488,4455,24578,42398,Cheeseman et al. 2024 Royal Society Open Science
2013,31701,6193,19315,44087,Cheeseman et al. 2024 Royal Society Open Science
2014,31243,4835,21573,40913,Cheeseman et al. 2024 Royal Society Open Science
2015,33260,5199,22862,43658,Cheeseman et al. 2024 Royal Society Open Science
2016,29852,3290,23272,36432,Cheeseman et al. 2024 Royal Society Open Science
2017,28429,6319,15791,41067,Cheeseman et al. 2024 Royal Society Open Science
2018,26731,3342,20047,33415,Cheeseman et al. 2024 Royal Society Open Science
2019,25671,4427,16817,34525,Cheeseman et al. 2024 Royal Society Open Science
2020,28706,4713,19280,38132,Cheeseman et al. 2024 Royal Society Open Science
2021,26662,4192,18278,35046,Cheeseman et al. 2024 Royal Society Open Science
