"year","u","effective_driver"
1951,0.050504679082331,-0.919986054187369
1952,0.180698988256693,-0.665201688672421
1953,0,-0.912934564280589
1954,0.459749715600803,0.070628523389538
1955,0.0873492986570824,-1.20188840333135
1956,0.900066821899388,0.640490279166225
1957,0.342701909083788,0.478792136603046
1958,0.331245310738008,0.794687005152553
1959,0.25278198270665,-0.0227169544284925
1960,0.050003262125623,-0.499759490937008
1961,0.0590713847604433,-0.769139982182072
1962,0.218996878019343,-0.574531162962318
1963,0.229916571615544,-0.251106927720734
1964,0.379561459659073,0.0362573040622002
1965,0.687826514310524,1.19481583061101
1966,0.23429911137094,0.288005483054005
1967,0.0168063641819044,0.0112214697622967
1968,0.00499489073197393,0.170063184271836
1969,0,-0.0851064026451209
1970,0,-0.268654979497146
1971,0.0202388001723593,-0.733923942908848
1972,0.140326355437592,-0.360877937024485
1973,0.230700952617009,-0.072962305678102
1974,0.162232685488964,-0.0477386549185648
1975,0.166493622826326,-0.307456281907019
1976,0.228566264893468,0.213577436753626
1977,0.182962521025837,0.202002255523496
1978,0.19356388884819,0.149012957375846
1979,0.165717700931644,0.140029979986066
1980,0.0847036943712104,-0.110638053431029
1981,0.147561315113354,0.315483540050272
1982,0.121617244262732,-0.112116941022122
1983,0.160146413218909,0.521860335253277
1984,0.11910926950128,0.379886743429518
1985,0.173229067006514,0.183160816380868
1986,0.114901793969729,0.629372664212497
1987,0.062491047617276,0.708009377652953
1988,0.011236548964051,-0.144910754258324
1989,0.0712450793271749,-0.0220917436111984
1990,0.244981855817635,-0.0199114591327917
1991,0.18572655961209,0.0681078927306988
1992,0.120401819121171,0.454029862574925
1993,0.164852450603154,0.865529667688007
1994,0.0176495436101376,-0.22393393612164
1995,0,0.311554602371192
1996,0,0.331353340123142
1997,0,0.339948006252461
1998,0.0949358385188336,0.0801502042031816
1999,0.169247919219562,-0.348312080375793
2000,0.106094317117232,-0.0156934541803266
2001,0,-0.415716423398984
2002,0.0454522193325797,0.444324866863655
2003,0,0.345651946257195
2004,0,0.350533539722112
2005,0,0.351657598720892
2006,0,0.323330262462433
2007,0.00379303369322455,-0.112444159752524
2008,0.0105092537028493,-0.227390408561726
2009,0.00591743933339741,-0.144702151274248
2010,0.0107845039071041,-0.0298665033112972
2011,0,-0.377929717351911
2012,0.00456440584820489,-0.363859313866079
2013,0.0040216513936512,-0.287352621487655
2014,0,0.372316287703613
2015,0,0.634006609874336
2016,0,0.53369495731547
2017,0,0.452013215202276
2018,0,0.194895693393321
2019,0,0.171722420129173
2020,0,-0.481030996343025
2021,0,-0.549885444903137
2022,0,-0.551873246926001
2023,0,-0.516605221714913
2024,0,-1.00192793197285
