"year","period","limb","total_catch","biomass","biomass_focal9","u","u9"
1951,"1951-1965 early industrial","down-limb (<=2005, fished)",2847,56371.0145620155,53704.3789534672,0.050504679082331,0.053012436890236
1952,"1951-1965 early industrial","down-limb (<=2005, fished)",10314,57078.3494667296,54466.4655324386,0.180698988256693,0.189364224375038
1953,"1951-1965 early industrial","down-limb (<=2005, fished)",0,67138.6962596018,64591.6813937672,0,0
1954,"1951-1965 early industrial","down-limb (<=2005, fished)",37269,81063.6716790498,78588.7671933693,0.459749715600803,0.474228077764585
1955,"1951-1965 early industrial","down-limb (<=2005, fished)",8263,94597.2105905401,91738.4201688298,0.0873492986570824,0.0900713134670652
1956,"1951-1965 early industrial","down-limb (<=2005, fished)",83653,92940.8772378357,90519.8124171061,0.900066821899388,0.92414022705367
1957,"1951-1965 early industrial","down-limb (<=2005, fished)",24016,70078.3957235799,68006.3373249396,0.342701909083788,0.353143559037001
1958,"1951-1965 early industrial","down-limb (<=2005, fished)",15719,47454.2566805802,45635.1168462615,0.331245310738008,0.344449649443326
1959,"1951-1965 early industrial","down-limb (<=2005, fished)",12836,50778.9355181061,49247.4019468548,0.25278198270665,0.260643191164722
1960,"1951-1965 early industrial","down-limb (<=2005, fished)",2672,53436.5136675912,52094.2652284934,0.050003262125623,0.0512916342764449
1961,"1951-1965 early industrial","down-limb (<=2005, fished)",3374,57117.3337764611,55702.1168106623,0.0590713847604433,0.0605722043108093
1962,"1951-1965 early industrial","down-limb (<=2005, fished)",13918,63553.4174088577,62359.932141877,0.218996878019343,0.223188183853933
1963,"1951-1965 early industrial","down-limb (<=2005, fished)",18725,81442.5853187786,79826.2793242157,0.229916571615544,0.234571874807645
1964,"1951-1965 early industrial","down-limb (<=2005, fished)",31824,83844.1290340298,82538.7817390525,0.379561459659073,0.385564207872755
1965,"1951-1965 early industrial","down-limb (<=2005, fished)",41389,60173.6035742795,58938.9824903861,0.687826514310524,0.702234722269785
1966,"1966-1971 late reduction","down-limb (<=2005, fished)",6155,26269.8392835792,25388.9650850494,0.23429911137094,0.242428156460164
1967,"1966-1971 late reduction","down-limb (<=2005, fished)",271,16124.8439618957,15528.5141904004,0.0168063641819044,0.0174517662589721
1968,"1966-1971 late reduction","down-limb (<=2005, fished)",80,16016.3663817296,15526.2135428727,0.00499489073197393,0.00515257630452493
1969,"1966-1971 late reduction","down-limb (<=2005, fished)",0,18493.8800809305,18076.6913424755,0,0
1970,"1966-1971 late reduction","down-limb (<=2005, fished)",0,21588.4022785334,21224.6924450207,0,0
1971,"1966-1971 late reduction","down-limb (<=2005, fished)",459,22679.210036713,22113.9008011042,0.0202388001723593,0.0207561752278947
1972,"1972-2004 roe fishery","down-limb (<=2005, fished)",4115,29324.4985032771,28523.8020179427,0.140326355437592,0.14426548036659
1973,"1972-2004 roe fishery","down-limb (<=2005, fished)",8575,37169.3306972838,35814.3148880699,0.230700952617009,0.239429402092413
1974,"1972-2004 roe fishery","down-limb (<=2005, fished)",7170,44195.7795273489,42329.640248429,0.162232685488964,0.169384855574484
1975,"1972-2004 roe fishery","down-limb (<=2005, fished)",8308,49899.8091276224,48341.1548051168,0.166493622826326,0.171861843878016
1976,"1972-2004 roe fishery","down-limb (<=2005, fished)",14405,63023.2987650825,61787.2419323428,0.228566264893468,0.233138744334526
1977,"1972-2004 roe fishery","down-limb (<=2005, fished)",12833,70140.0479619964,69402.6856678121,0.182962521025837,0.184906389090239
1978,"1972-2004 roe fishery","down-limb (<=2005, fished)",12648,65342.7665421606,64153.3866102885,0.19356388884819,0.197152491369358
1979,"1972-2004 roe fishery","down-limb (<=2005, fished)",8887,53627.3430661805,52528.1776458271,0.165717700931644,0.169185385792762
1980,"1972-2004 roe fishery","down-limb (<=2005, fished)",3873,45724.0977356518,44622.2800321278,0.0847036943712104,0.0867952062783762
1981,"1972-2004 roe fishery","down-limb (<=2005, fished)",6836,46326.5049836993,44855.9492507071,0.147561315113354,0.152398959651762
1982,"1972-2004 roe fishery","down-limb (<=2005, fished)",5402,44418.0431216642,42960.1946312043,0.121617244262732,0.125744309269871
1983,"1972-2004 roe fishery","down-limb (<=2005, fished)",8164,50978.3505974647,49772.8758519652,0.160146413218909,0.164025081136188
1984,"1972-2004 roe fishery","down-limb (<=2005, fished)",5159,43313.1696768955,42010.6079058137,0.11910926950128,0.122802317252021
1985,"1972-2004 roe fishery","down-limb (<=2005, fished)",6483,37424.4352407453,36016.1855094643,0.173229067006514,0.180002404704862
1986,"1972-2004 roe fishery","down-limb (<=2005, fished)",3733,32488.6137198472,30799.5277869975,0.114901793969729,0.121203156938527
1987,"1972-2004 roe fishery","down-limb (<=2005, fished)",2134,34148.8914231299,32412.661970331,0.062491047617276,0.0658384677553902
