region,year,var,value,unit,precision,source
coastwide,1992,roe_value_cad_nominal,24500000,CAD,chart_read,IFMP_Fig9
coastwide,1993,roe_value_cad_nominal,39837362,CAD,chart_read,IFMP_Fig9
coastwide,1994,roe_value_cad_nominal,34500000,CAD,chart_read,IFMP_Fig9
coastwide,1995,roe_value_cad_nominal,37000000,CAD,chart_read,IFMP_Fig9
coastwide,1996,roe_value_cad_nominal,36500000,CAD,chart_read,IFMP_Fig9
coastwide,1997,roe_value_cad_nominal,9200000,CAD,chart_read,IFMP_Fig9
coastwide,1998,roe_value_cad_nominal,7800000,CAD,chart_read,IFMP_Fig9
coastwide,1999,roe_value_cad_nominal,6300000,CAD,chart_read,IFMP_Fig9
coastwide,2000,roe_value_cad_nominal,21800000,CAD,chart_read,IFMP_Fig9
coastwide,2001,roe_value_cad_nominal,14900000,CAD,chart_read,IFMP_Fig9
coastwide,2002,roe_value_cad_nominal,16800000,CAD,chart_read,IFMP_Fig9
coastwide,2003,roe_value_cad_nominal,13400000,CAD,chart_read,IFMP_Fig9
coastwide,2004,roe_value_cad_nominal,12000000,CAD,chart_read,IFMP_Fig9
coastwide,2006,roe_value_cad_nominal,2780000,CAD,source_stated,IFMP_2006_Table9
HG,1977,sok_value_cad_nominal,1200000,CAD,source_stated,Powell_Harris_2012
HG,1996,sok_value_cad_nominal,22400000,CAD,source_stated,Powell_Harris_2012
HG,2006,sok_value_cad_nominal,2700000,CAD,source_stated,IFMP_2006_Table9
HG,1975,sok_price_cad_lb_nom,11.5,CAD/lb,derived,RebuildingPlan_1970s_midpt
HG,1995,sok_price_cad_lb_nom,40,CAD/lb,source_stated,IFMP_Powell2012
HG,2004,sok_price_cad_lb_nom,5.99,CAD/lb,source_stated,IFMP
HG,2015,sok_price_cad_lb_nom,12.5,CAD/lb,derived,RebuildingPlan_recent_midpt
HG,1979,roe_value_cad_nominal,5500,CAD/ton,source_stated,Haida_TEK_Vol3
