year,sb_kt_digitized,source,note
1951,77.617,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1952,7.772,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1953,9.216,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1954,28.109,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1955,51.001,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1956,43.0,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1957,11.884,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1958,4.382,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1959,3.882,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1960,6.994,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1961,14.273,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1962,24.607,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1963,29.053,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1964,18.496,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
1965,5.549,DFO CSAS SR 2025/005 Fig 8(d),black SB median line; auto pixel-trace; y-cal from red LRP=6.452 & blue 0.75SBprod=19.107 (Table 19)
