region,year,regime,fishery_open,biomass_t,recruitment,exploitation_rate,catch_total_t,catch_sok_t,catch_roe_t,unit,precision,source,roe_value_cad_nominal,sok_value_cad_nominal,sok_price_cad_lb_nom,fx_jpy_per_cad,roe_value_cad_real2020
HG,1950,reduction,TRUE,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1951,reduction,TRUE,56371.01456201545,NA,NA,2847,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1952,reduction,TRUE,57078.3494667296,NA,NA,10314,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1953,reduction,TRUE,67138.69625960178,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1954,reduction,TRUE,81063.67167904983,NA,NA,37269,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1955,reduction,TRUE,94597.21059054008,NA,NA,8263,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1956,reduction,TRUE,92940.87723783572,NA,NA,83653,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1957,reduction,TRUE,70078.39572357986,NA,NA,24016,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1958,reduction,TRUE,47454.25668058025,NA,NA,15719,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1959,reduction,TRUE,50778.93551810607,NA,NA,12836,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1960,reduction,TRUE,53436.51366759124,NA,NA,2672,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1961,reduction,TRUE,57117.333776461106,NA,NA,3374,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1962,reduction,TRUE,63553.417408857655,NA,NA,13918,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1963,reduction,TRUE,81442.58531877861,NA,NA,18725,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1964,reduction,TRUE,83844.1290340298,NA,NA,31824,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1965,reduction,TRUE,60173.60357427954,NA,NA,41389,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1966,reduction,TRUE,26269.839283579167,NA,NA,6155,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1967,moratorium,FALSE,16124.843961895656,NA,NA,271,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1968,moratorium,FALSE,16016.366381729593,NA,NA,80,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1969,moratorium,FALSE,18493.88008093046,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1970,moratorium,FALSE,21588.402278533427,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1971,moratorium,FALSE,22679.210036713037,NA,NA,459,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1972,roe_openaccess,TRUE,29324.498503277093,NA,NA,4115,0,3123.62,NA,NA,NA,NA,NA,NA,NA,NA
HG,1973,roe_openaccess,TRUE,37169.33069728376,NA,NA,8575,0,7449.35,NA,NA,NA,NA,NA,NA,NA,NA
HG,1974,roe_openaccess,TRUE,44195.77952734886,NA,NA,7170,0,6318.2300000000005,NA,NA,NA,NA,NA,NA,NA,NA
HG,1975,roe_openaccess,TRUE,49899.8091276224,NA,NA,8308,136,7648.68,CAD/lb,derived,RebuildingPlan_1970s_midpt,NA,NA,11.5,NA,NA
HG,1976,roe_openaccess,TRUE,63023.29876508254,NA,NA,14405,0,13741.23,NA,NA,NA,NA,NA,NA,NA,NA
HG,1977,roe_openaccess,TRUE,70140.0479619964,NA,NA,12833,0,12613.89,CAD,source_stated,Powell_Harris_2012,NA,1200000,NA,NA,NA
HG,1978,roe_openaccess,TRUE,65342.76654216056,NA,NA,12648,0,11725.5,NA,NA,NA,NA,NA,NA,NA,NA
HG,1979,roe_openaccess,TRUE,53627.34306618053,NA,NA,8887,0,7902.65,CAD/ton,source_stated,Haida_TEK_Vol3,5500,NA,NA,NA,NA
HG,1980,roe_openaccess,TRUE,45724.09773565177,NA,NA,3873,0,3316.05,NA,NA,NA,NA,NA,NA,NA,NA
HG,1981,roe_openaccess,TRUE,46326.504983699335,NA,NA,6836,0,5588.3099999999995,NA,NA,NA,NA,NA,NA,NA,NA
HG,1982,roe_openaccess,TRUE,44418.043121664174,NA,NA,5402,0,3760.68,NA,NA,NA,NA,NA,NA,NA,NA
HG,1983,roe_openaccess,TRUE,50978.35059746468,NA,NA,8164,0,5529.6500000000005,NA,NA,NA,NA,NA,NA,NA,NA
HG,1984,roe_openaccess,TRUE,43313.1696768955,NA,NA,5159,0,4550.52,NA,NA,NA,NA,NA,NA,NA,NA
HG,1985,roe_openaccess,TRUE,37424.43524074531,NA,NA,6483,0,5954.53,NA,NA,NA,NA,NA,NA,NA,NA
HG,1986,roe_openaccess,TRUE,32488.61371984724,NA,NA,3733,0,3425.09,NA,NA,NA,NA,NA,NA,NA,NA
HG,1987,roe_openaccess,TRUE,34148.891423129906,NA,NA,2134,0,2027.97,NA,NA,NA,NA,NA,NA,NA,NA
HG,1988,roe_openaccess,TRUE,32572.27830101037,NA,NA,366,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1989,roe_openaccess,TRUE,32156.606766892157,NA,NA,2291,824,1419.25,NA,NA,NA,NA,NA,NA,NA,NA
HG,1990,roe_openaccess,TRUE,36663.939743709925,NA,NA,8982,0,6704.49,NA,NA,NA,NA,NA,NA,NA,NA
HG,1991,roe_openaccess,TRUE,37689.81676406565,NA,NA,7000,0,4391.16,NA,NA,NA,NA,NA,NA,NA,NA
HG,1992,roe_openaccess,TRUE,31610.81807385066,NA,NA,3806,0,2460.32,NA,NA,NA,NA,NA,NA,NA,NA
HG,1993,roe_openaccess,TRUE,24306.58437493276,NA,NA,4007,0,2699.35,NA,NA,NA,NA,NA,NA,NA,NA
HG,1994,roe_openaccess,TRUE,22153.54734585976,NA,NA,391,91,298.86,NA,NA,NA,NA,NA,NA,NA,NA
HG,1995,roe_openaccess,TRUE,21851.37327080588,NA,NA,0,0,0,CAD/lb,source_stated,IFMP_Powell2012,NA,NA,40,NA,NA
HG,1996,roe_openaccess,TRUE,22201.62403445391,NA,NA,0,0,0,CAD,source_stated,Powell_Harris_2012,NA,22400000,NA,NA,NA
HG,1997,roe_openaccess,TRUE,22008.294160380923,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,1998,roe_ivq_pool,TRUE,17759.36281076326,NA,NA,1686,136,1371.31,NA,NA,NA,NA,NA,NA,NA,NA
HG,1999,roe_ivq_pool,FALSE,17601.39807766495,NA,NA,2979,0,2978.49,NA,NA,NA,NA,NA,NA,NA,NA
HG,2000,roe_ivq_pool,FALSE,16626.715246687763,NA,NA,1764,0,1764.69,NA,NA,NA,NA,NA,NA,NA,NA
HG,2001,roe_ivq_pool,FALSE,17649.864289950965,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2002,roe_ivq_pool,TRUE,15532.794885858206,NA,NA,706,0,705.79,NA,NA,NA,NA,NA,NA,NA,NA
HG,2003,roe_ivq_pool,FALSE,18649.91528159072,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2004,roe_ivq_pool,FALSE,19691.957164196683,NA,NA,0,0,0,CAD/lb,source_stated,IFMP,NA,NA,5.99,NA,NA
HG,2005,roe_ivq_pool,FALSE,19819.185828260343,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2006,roe_ivq_pool,FALSE,21100.07385420207,NA,NA,0,0,0,CAD,source_stated,IFMP_2006_Table9,NA,2700000,NA,NA,NA
HG,2007,roe_ivq_pool,FALSE,23991.350291075,NA,NA,91,91,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2008,roe_ivq_pool,FALSE,25977.106245516123,NA,NA,273,273,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2009,roe_ivq_pool,FALSE,30756.546834846435,NA,NA,182,182,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2010,roe_ivq_pool,FALSE,33752.132053123205,NA,NA,364,364,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2011,roe_ivq_pool,FALSE,35698.49013069615,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2012,roe_ivq_pool,FALSE,39873.75488785203,NA,NA,182,182,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2013,roe_ivq_pool,FALSE,45255.04132141218,NA,NA,182,182,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2014,roe_ivq_pool,FALSE,47949.89077071624,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2015,roe_ivq_pool,FALSE,46797.719572705886,NA,NA,0,0,0,CAD/lb,derived,RebuildingPlan_recent_midpt,NA,NA,12.5,NA,NA
HG,2016,roe_ivq_pool,FALSE,40069.56284804921,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HG,2017,roe_ivq_pool,FALSE,35711.10425456063,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,86.34290965202767,NA
HG,2018,roe_ivq_pool,FALSE,37240.00756407696,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,85.20645524104906,NA
HG,2019,roe_ivq_pool,FALSE,44389.48640034759,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,82.15117788358849,NA
HG,2020,roe_ivq_pool,FALSE,48687.85102520952,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,79.58148383005707,NA
HG,2021,roe_ivq_pool,FALSE,50218.19512428466,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,87.53489091535481,NA
HG,2022,roe_ivq_pool,FALSE,49488.63337905465,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,100.56323521659618,NA
HG,2023,roe_ivq_pool,FALSE,50813.35607070952,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,103.86085995116865,NA
HG,2024,roe_ivq_pool,FALSE,63222.79331465784,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,110.50114479186006,NA
HG,2025,roe_ivq_pool,FALSE,82213.67727356208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.97576504856872,NA
HG,2026,roe_ivq_pool,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.77131205587166,NA
PRD,1950,reduction,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRD,1951,reduction,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRD,1952,reduction,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRD,1953,reduction,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRD,1954,reduction,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
